URL,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Employment Change, 2019-29",Job_Title,Yearly_Wage,Hourly_Wage,Job_Outlook_2019-29_Rate,Job_Outlook_2019-29_Discription
https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,High school diploma or equivalent,None,Apprenticeship,137700,1800,Sheet metal fabricators,50400.0,24.23,0.01, Slower than average
https://www.bls.gov/ooh/healthcare/dentists.htm,Doctoral or professional degree,None,See How to Become One,151600,4000,Family dentists,159200.0,76.54,0.03, As fast as average
https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,Bachelor's degree,None,None,67900,12400,Movie shot camera operators,59810.0,28.76,0.18, Much faster than average
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,See How to Become One,None,See How to Become One,184600,-7100,Library assistants,30560.0,14.69,-0.04, Decline
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Loan representatives,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Psychiatrists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/architecture-and-engineering/mining-and-geological-engineers.htm,Bachelor's degree,None,None,6300,300,Mining and geological engineers,91160.0,43.83,0.04, As fast as average
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,High school diploma or equivalent,None,See How to Become One,350900,75500,Animal care and service workers,24990.0,12.02,0.22, Much faster than average
https://www.bls.gov/ooh/production/woodworkers.htm,High school diploma or equivalent,None,See How to Become One,263500,-9600,Woodworkers,32690.0,15.72,-0.04, Decline
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Marine pipefitter helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,Bachelor's degree,None,None,55800,1700,Hazardous waste management control engineers,88860.0,42.72,0.03, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,No formal educational credential,None,Moderate-term on-the-job training,146900,-300,Drywall hangers,47360.0,22.77,0.0, Little or no change
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Commodities clerks,40540.0,19.49,0.0, Little or no change
