URL,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Employment Change, 2019-29",Job_Title,Yearly_Wage,Hourly_Wage,Job_Outlook_2019-29_Rate,Job_Outlook_2019-29_Discription
https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,Bachelor's degree,None,None,52000,-5800,Market news reporters,46270.0,22.25,-0.11, Decline
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Posting clerks,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,See How to Become One,None,See How to Become One,55100,17900,Rehabilitation services aides,59200.0,28.46,0.32, Much faster than average
https://www.bls.gov/ooh/management/financial-managers.htm,Bachelor's degree,5 years or more,None,697900,108100,Banking center managers,129890.0,62.45,0.15, Much faster than average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Vacuum cleaner assemblers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,See How to Become One,None,See How to Become One,1579100,119500,Orderlies,29640.0,14.25,0.08, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,45300,3700,Asbestos removers,43900.0,21.11,0.08, Much faster than average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Neurosurgeons,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,See How to Become One,See How to Become One,None,1329900,121500,Postsecondary teachers,79540.0,0.0,0.09, Much faster than average
https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,Bachelor's degree,Less than 5 years,Short-term on-the-job training,58400,4300,Policy writers,72850.0,35.03,0.07, Faster than average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Dermatologists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm,Bachelor's degree,Less than 5 years,None,69200,700,Preschool directors,48210.0,23.18,0.01, Slower than average
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,See How to Become One,None,None,37500,4200,Reference archivists,49850.0,23.97,0.11, Much faster than average
https://www.bls.gov/ooh/media-and-communication/photographers.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,133500,-4800,Advertising photographers,36280.0,17.44,-0.04, Decline
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,See How to Become One,None,None,37500,4200,Archivists,49850.0,23.97,0.11, Much faster than average
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,High school diploma or equivalent,None,See How to Become One,350900,75500,Dog trainers,24990.0,12.02,0.22, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,High school diploma or equivalent,None,Apprenticeship,95900,4500,Ornamental ironworkers,53650.0,25.79,0.05, Faster than average
https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,Postsecondary nondegree award,None,Short-term on-the-job training,2029900,30600,Long haul truck drivers,45260.0,21.76,0.02, Slower than average
https://www.bls.gov/ooh/management/top-executives.htm,Bachelor's degree,5 years or more,None,2774300,115000,University presidents,104690.0,50.33,0.04, As fast as average
https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,Bachelor's degree,None,None,42200,-1500,Package designers,68890.0,33.12,-0.04, Decline
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Commission clerks,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/veterinarians.htm,Doctoral or professional degree,None,None,89200,14200,Wildlife veterinarians,95460.0,45.9,0.16, Much faster than average
https://www.bls.gov/ooh/healthcare/veterinarians.htm,Doctoral or professional degree,None,None,89200,14200,Public health veterinarians,95460.0,45.9,0.16, Much faster than average
https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,Bachelor's degree,None,None,328100,10800,Circuit design engineers,101250.0,48.68,0.03, As fast as average
https://www.bls.gov/ooh/healthcare/registered-nurses.htm,Bachelor's degree,None,None,3096700,221900,CCU nurses,73300.0,35.24,0.07, Faster than average
https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,Bachelor's degree,None,None,138600,10800,Convention service managers,50600.0,24.33,0.08, Much faster than average
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,High school diploma or equivalent,None,See How to Become One,350900,75500,Dog sitters,24990.0,12.02,0.22, Much faster than average
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Billing clerks,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/management/public-relations-managers.htm,Bachelor's degree,5 years or more,None,88000,8100,Publicists,116180.0,55.86,0.09, Much faster than average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Wire coilers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,Associate's degree,None,None,200900,-7100,Building drafters,56830.0,27.32,-0.04, Decline
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,Bachelor's degree,None,None,146500,7300,Youth services librarians,59500.0,28.61,0.05, Faster than average
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,High school diploma or equivalent,See How to Become One,See How to Become One,187300,19000,Keno writers,23520.0,11.31,0.1, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,High school diploma or equivalent,None,Apprenticeship,15900,100,Boilermakers,63100.0,30.34,0.01, Slower than average
https://www.bls.gov/ooh/architecture-and-engineering/nuclear-engineers.htm,Bachelor's degree,None,None,16400,-2100,Atomic process engineers,113460.0,54.55,-0.13, Decline
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,See How to Become One,None,See How to Become One,184600,-7100,Book sorters,30560.0,14.69,-0.04, Decline
https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,High school diploma or equivalent,None,Short-term on-the-job training,1105300,39500,Greeters,30050.0,14.45,0.04, As fast as average
https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,Bachelor's degree,None,None,316300,12400,Mechanical engineers,88430.0,42.51,0.04, As fast as average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Circuit board assemblers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm,Bachelor's degree,None,None,1050800,40200,High school biology teachers,61660.0,0.0,0.04, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,High school diploma or equivalent,None,Apprenticeship,739200,62200,Licensed electricians,56180.0,27.01,0.08, Much faster than average
https://www.bls.gov/ooh/healthcare/podiatrists.htm,Doctoral or professional degree,None,Internship/residency,10500,0,Foot specialists,126240.0,60.69,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/dentists.htm,Doctoral or professional degree,None,See How to Become One,151600,4000,Endodontists,159200.0,76.54,0.03, As fast as average
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,See How to Become One,None,Long-term on-the-job training,51900,100,Concrete sculptors,48760.0,23.44,0.0, Little or no change
https://www.bls.gov/ooh/management/training-and-development-managers.htm,Bachelor's degree,5 years or more,None,42300,3100,E-learning managers,113350.0,54.5,0.07, Faster than average
https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,Bachelor's degree,None,None,1436100,61700,Industrial accountants,71550.0,34.4,0.04, As fast as average
https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,Bachelor's degree,Less than 5 years,None,876300,93800,Industrial analysts,85260.0,40.99,0.11, Much faster than average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Lure makers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,See How to Become One,None,Long-term on-the-job training,51900,100,Printmakers,48760.0,23.44,0.0, Little or no change
https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm,Doctoral or professional degree,None,None,138300,8400,Medical scientists,88790.0,42.69,0.06, Faster than average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Aircraft line assemblers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,Postsecondary nondegree award,None,None,265200,17000,EMTs-I/85,35400.0,17.02,0.06, Faster than average
https://www.bls.gov/ooh/business-and-financial/human-resources-specialists.htm,Bachelor's degree,None,None,666500,46900,Human resources specialists,61920.0,29.77,0.07, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,No formal educational credential,None,Moderate-term on-the-job training,146900,-300,Drywall strippers,47360.0,22.77,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,Master's degree,None,None,2600,600,Genomic medicine genetic counselors,81880.0,39.36,0.21, Much faster than average
https://www.bls.gov/ooh/architecture-and-engineering/health-and-safety-engineers.htm,Bachelor's degree,None,None,26400,1000,Health and safety engineers,91410.0,43.95,0.04, As fast as average
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,See How to Become One,None,Short-term on-the-job training,140300,13200,Sound engineering technicians,45510.0,21.88,0.09, Much faster than average
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Payroll representatives,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,Associate's degree,None,None,200900,-7100,Tool and die designers,56830.0,27.32,-0.04, Decline
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,Bachelor's degree,None,None,146500,7300,Collection development librarians,59500.0,28.61,0.05, Faster than average
https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm,Postsecondary nondegree award,None,Long-term on-the-job training,7000,4300,Wind turbine technicians,52910.0,25.44,0.61, Much faster than average
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,High school diploma or equivalent,None,See How to Become One,350900,75500,Keepers,24990.0,12.02,0.22, Much faster than average
https://www.bls.gov/ooh/healthcare/dental-assistants.htm,Postsecondary nondegree award,None,None,354600,23400,Expanded functions dental assistants,40080.0,19.27,0.07, Faster than average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Fiberglass boat builders,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,See How to Become One,None,See How to Become One,902900,9200,Agricultural workers,25840.0,12.42,0.01, Slower than average
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,See How to Become One,None,None,37500,4200,Exhibitions and collections managers,49850.0,23.97,0.11, Much faster than average
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,High school diploma or equivalent,See How to Become One,See How to Become One,187300,19000,Keno dealers,23520.0,11.31,0.1, Much faster than average
https://www.bls.gov/ooh/education-training-and-library/middle-school-teachers.htm,Bachelor's degree,None,None,627100,22500,Middle school PE teachers,59660.0,0.0,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Obstetrical anesthesiologists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,High school diploma or equivalent,None,Apprenticeship,95900,4500,Steel rod busters,53650.0,25.79,0.05, Faster than average
https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm,Bachelor's degree,None,None,21200,1000,Biomaterials engineers,91410.0,43.95,0.05, Faster than average
https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,See How to Become One,None,See How to Become One,1579100,119500,Nursing attendants,29640.0,14.25,0.08, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/construction-and-building-inspectors.htm,High school diploma or equivalent,5 years or more,Moderate-term on-the-job training,120800,3900,Plumbing inspectors,60710.0,29.19,0.03, As fast as average
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Document clerks,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,Bachelor's degree,None,None,443700,14300,Pre-K special education teachers,61030.0,0.0,0.03, As fast as average
https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,See How to Become One,None,See How to Become One,348800,-22000,"Claims adjusters, appraisers, examiners, and investigators",66540.0,31.99,-0.06, Decline
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Personnel schedulers,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Insurance claims and policy processing clerks,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/construction-and-extraction/roofers.htm,No formal educational credential,None,Moderate-term on-the-job training,161600,3800,Composition roofers,42100.0,20.24,0.02, Slower than average
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,468300,19200,Paving equipment operators,48160.0,23.16,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,Master's degree,None,None,263400,117700,Adult nurse practitioners,115800.0,55.67,0.45, Much faster than average
https://www.bls.gov/ooh/architecture-and-engineering/nuclear-engineers.htm,Bachelor's degree,None,None,16400,-2100,Reactor engineers,113460.0,54.55,-0.13, Decline
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Truck transmission assemblers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,High school diploma or equivalent,None,Apprenticeship,490200,20900,Industrial gas fitters,55160.0,26.52,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/physical-therapists.htm,Doctoral or professional degree,None,None,258200,47000,Geriatric physical therapists,89440.0,43.0,0.18, Much faster than average
https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm,High school diploma or equivalent,None,See How to Become One,521300,70100,"Industrial machinery mechanics, machinery maintenance workers, and millwrights",52860.0,25.41,0.13, Much faster than average
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Tax clerks,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,Bachelor's degree,None,None,52000,-5800,Columnists,46270.0,22.25,-0.11, Decline
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,Bachelor's degree,None,Long-term on-the-job training,131200,-3100,Screen writers,63200.0,30.39,-0.02, Decline
https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,Bachelor's degree,Less than 5 years,Short-term on-the-job training,58400,4300,Web writers,72850.0,35.03,0.07, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Sheet rock taper helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/arts-and-design/art-directors.htm,Bachelor's degree,5 years or more,None,99100,-1800,Magazine designers,94220.0,45.3,-0.02, Decline
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Adobe layer helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,See How to Become One,None,None,37500,4200,Herbarium curators,49850.0,23.97,0.11, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,No formal educational credential,None,See How to Become One,123400,4100,Composition floor layers,42050.0,20.22,0.03, As fast as average
https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm,Bachelor's degree,None,None,55400,1900,Budget analysts,76540.0,36.8,0.03, As fast as average
https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,Bachelor's degree,None,None,77900,-3800,Sustainable designers,56040.0,26.94,-0.05, Decline
https://www.bls.gov/ooh/healthcare/dental-assistants.htm,Postsecondary nondegree award,None,None,354600,23400,Orthodontist assistants,40080.0,19.27,0.07, Faster than average
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,Master's degree,Less than 5 years,None,190500,7100,Directors of student services,95410.0,45.87,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Neuropsychiatrists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,Bachelor's degree,See How to Become One,See How to Become One,526200,-37600,Oyster buyers,69600.0,33.46,-0.07, Decline
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Billboard poster helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm,Master's degree,None,None,333500,26800,School and career counselors,57040.0,27.42,0.08, Much faster than average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Multiple coil winders,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Machine builders,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,See How to Become One,None,Long-term on-the-job training,51900,100,Pattern illustrators,48760.0,23.44,0.0, Little or no change
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Warrant clerks,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,Bachelor's degree,Less than 5 years,None,209700,3400,Industrial electrical technology instructors,58110.0,0.0,0.02, Slower than average
https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,Bachelor's degree,None,None,138600,10800,Convention managers,50600.0,24.33,0.08, Much faster than average
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,Bachelor's degree,None,Long-term on-the-job training,131200,-3100,Short story writers,63200.0,30.39,-0.02, Decline
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Construction laborers and helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,No formal educational credential,None,See How to Become One,123400,4100,Mosaic floor layers,42050.0,20.22,0.03, As fast as average
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,See How to Become One,None,See How to Become One,184600,-7100,Cataloging library technical assistants,30560.0,14.69,-0.04, Decline
https://www.bls.gov/ooh/life-physical-and-social-science/geological-and-petroleum-technicians.htm,Associate's degree,None,Moderate-term on-the-job training,19000,1000,Geological and petroleum technicians,51130.0,24.58,0.05, Faster than average
https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,"Some college, no degree",None,None,1395900,50500,Learning support aides,27920.0,0.0,0.04, As fast as average
https://www.bls.gov/ooh/management/top-executives.htm,Bachelor's degree,5 years or more,None,2774300,115000,Chancellors,104690.0,50.33,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Board certified family physicians,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Payroll coordinators,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,Postsecondary nondegree award,None,None,265200,17000,EMTs,35400.0,17.02,0.06, Faster than average
https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,Bachelor's degree,None,None,1436100,61700,Environmental auditors,71550.0,34.4,0.04, As fast as average
https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,Bachelor's degree,None,None,27500,400,Welding engineers,93360.0,44.88,0.02, Slower than average
https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm,High school diploma or equivalent,None,Apprenticeship,52800,2100,Glazier apprentices,44630.0,21.46,0.04, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,No formal educational credential,None,See How to Become One,123400,4100,Hard tile setters,42050.0,20.22,0.03, As fast as average
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,Bachelor's degree,None,None,443700,14300,Early childhood special education teachers,61030.0,0.0,0.03, As fast as average
https://www.bls.gov/ooh/healthcare/medical-assistants.htm,Postsecondary nondegree award,None,None,725200,139200,"Assistants, ophthalmic medical",34800.0,16.73,0.19, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,See How to Become One,None,See How to Become One,302100,-10000,Marble-chip terrazzo workers,46500.0,22.35,-0.03, Decline
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,See How to Become One,None,See How to Become One,302100,-10000,Bricklayers,46500.0,22.35,-0.03, Decline
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Rotor coil tapers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,No formal educational credential,None,Moderate-term on-the-job training,379500,900,Painters,40280.0,19.37,0.0, Little or no change
https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm,High school diploma or equivalent,None,Apprenticeship,1024100,-4200,Building carpenters,48330.0,23.24,0.0, Little or no change
https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,High school diploma or equivalent,None,Apprenticeship,15900,100,Boiler fitters,63100.0,30.34,0.01, Slower than average
https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm,Bachelor's degree,None,None,28300,-1300,Apparel designers,73790.0,35.48,-0.04, Decline
https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,Bachelor's degree,None,None,42200,-1500,Ceramic mold designers,68890.0,33.12,-0.04, Decline
https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm,High school diploma or equivalent,None,Apprenticeship,1024100,-4200,Beam builders,48330.0,23.24,0.0, Little or no change
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,High school diploma or equivalent,None,See How to Become One,350900,75500,Horse breakers,24990.0,12.02,0.22, Much faster than average
https://www.bls.gov/ooh/farming-fishing-and-forestry/fishers-and-related-fishing-workers.htm,No formal educational credential,None,Moderate-term on-the-job training,36700,-2800,Fishing and hunting workers,28530.0,0.0,-0.08, Decline
https://www.bls.gov/ooh/management/top-executives.htm,Bachelor's degree,5 years or more,None,2774300,115000,Presidents,104690.0,50.33,0.04, As fast as average
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,High school diploma or equivalent,See How to Become One,See How to Become One,187300,19000,Pit bosses,23520.0,11.31,0.1, Much faster than average
https://www.bls.gov/ooh/management/training-and-development-managers.htm,Bachelor's degree,5 years or more,None,42300,3100,Labor training managers,113350.0,54.5,0.07, Faster than average
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,See How to Become One,None,Long-term on-the-job training,51900,100,Sports cartoonists,48760.0,23.44,0.0, Little or no change
https://www.bls.gov/ooh/media-and-communication/photographers.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,133500,-4800,News photographers,36280.0,17.44,-0.04, Decline
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,Bachelor's degree,None,Long-term on-the-job training,131200,-3100,Novelists,63200.0,30.39,-0.02, Decline
https://www.bls.gov/ooh/management/human-resources-managers.htm,Bachelor's degree,5 years or more,None,165200,10400,Human resources managers,116720.0,56.11,0.06, Faster than average
https://www.bls.gov/ooh/healthcare/dental-assistants.htm,Postsecondary nondegree award,None,None,354600,23400,Certified dental assistants,40080.0,19.27,0.07, Faster than average
https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,Bachelor's degree,None,None,319400,79000,Drug abuse counselors,46240.0,22.23,0.25, Much faster than average
https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,Bachelor's degree,Less than 5 years,None,209700,3400,Massage therapy instructors,58110.0,0.0,0.02, Slower than average
https://www.bls.gov/ooh/healthcare/registered-nurses.htm,Bachelor's degree,None,None,3096700,221900,Pediatric registered nurses,73300.0,35.24,0.07, Faster than average
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Cage cashiers,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/registered-nurses.htm,Bachelor's degree,None,None,3096700,221900,CNSs,73300.0,35.24,0.07, Faster than average
https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,Bachelor's degree,Less than 5 years,None,876300,93800,Business consultants,85260.0,40.99,0.11, Much faster than average
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,See How to Become One,None,Long-term on-the-job training,51900,100,Video artists,48760.0,23.44,0.0, Little or no change
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,No formal educational credential,None,See How to Become One,123400,4100,Tilesetters,42050.0,20.22,0.03, As fast as average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Aircraft engine assemblers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,"Some college, no degree",None,None,1395900,50500,Classroom aides,27920.0,0.0,0.04, As fast as average
https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,Bachelor's degree,None,None,77900,-3800,Universal designers,56040.0,26.94,-0.05, Decline
https://www.bls.gov/ooh/architecture-and-engineering/landscape-architects.htm,Bachelor's degree,None,Internship/residency,24500,-600,Landscape architects,69360.0,33.35,-0.02, Decline
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Gas main fitter helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,Bachelor's degree,None,None,52000,-5800,News anchors,46270.0,22.25,-0.11, Decline
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,High school diploma or equivalent,None,See How to Become One,350900,75500,Aquarium tank attendants,24990.0,12.02,0.22, Much faster than average
