URL,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29",Job_Title
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Structural metal fabricators and fitters
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,"$95,410 per year  $45.87 per hour",Master's degree,Less than 5 years,None,190500,4% (As fast as average),7100,Continuing education directors
https://www.bls.gov/ooh/healthcare/podiatrists.htm,"$126,240 per year  $60.69 per hour",Doctoral or professional degree,None,Internship/residency,10500,0% (Little or no change),0,DPMs
https://www.bls.gov/ooh/healthcare/medical-assistants.htm,"$34,800 per year  $16.73 per hour",Postsecondary nondegree award,None,None,725200,19% (Much faster than average),139200,Administrative medical assistants
https://www.bls.gov/ooh/life-physical-and-social-science/sociologists.htm,"$83,420 per year  $40.10 per hour",Master's degree,None,None,3200,4% (As fast as average),100,Sociologists
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Cut file clerks
https://www.bls.gov/ooh/healthcare/licensed-practical-and-licensed-vocational-nurses.htm,"$47,480 per year  $22.83 per hour",Postsecondary nondegree award,None,None,721700,9% (Much faster than average),65700,Licensed practical nurses
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,"$48,160 per year  $23.16 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,468300,4% (As fast as average),19200,Construction equipment operators
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,"$49,850 per year  $23.97 per hour",See How to Become One,None,None,37500,11% (Much faster than average),4200,Objects conservators
https://www.bls.gov/ooh/management/public-relations-managers.htm,"$116,180 per year  $55.86 per hour",Bachelor's degree,5 years or more,None,88000,9% (Much faster than average),8100,Public relations coordinators
https://www.bls.gov/ooh/media-and-communication/photographers.htm,"$36,280 per year  $17.44 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,133500,-4% (Decline),-4800,Marine photographers
https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm,"$92,030 per year  $44.25 per hour",Master's degree,None,None,45700,33% (Much faster than average),14900,Mathematicians and statisticians
https://www.bls.gov/ooh/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm,"$54,890 per year  $26.39 per hour",Bachelor's degree,None,Moderate-term on-the-job training,57600,-4% (Decline),-2400,"Tax examiners and collectors, and revenue agents"
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,"$46,500 per year  $22.35 per hour",See How to Become One,None,See How to Become One,302100,-3% (Decline),-10000,Rock masons
https://www.bls.gov/ooh/healthcare/medical-assistants.htm,"$34,800 per year  $16.73 per hour",Postsecondary nondegree award,None,None,725200,19% (Much faster than average),139200,"Assistants, optometric"
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Blackjack dealers
https://www.bls.gov/ooh/healthcare/veterinarians.htm,"$95,460 per year  $45.90 per hour",Doctoral or professional degree,None,None,89200,16% (Much faster than average),14200,Food animal veterinarians
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Gynecologists
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Dog licensers
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,"$59,500 per year  $28.61 per hour",Bachelor's degree,None,None,146500,5% (Faster than average),7300,Film librarians
https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,"$101,250 per year  $48.68 per hour",Bachelor's degree,None,None,328100,3% (As fast as average),10800,Electrical systems engineers
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,"$59,500 per year  $28.61 per hour",Bachelor's degree,None,None,146500,5% (Faster than average),7300,Interlibrary loan services librarians
https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,"$88,430 per year  $42.51 per hour",Bachelor's degree,None,None,316300,4% (As fast as average),12400,Combustion engineers
https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,"$59,200 per year  $28.46 per hour",See How to Become One,None,See How to Become One,55100,32% (Much faster than average),17900,Certified occupational therapy assistants
https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,"$84,990 per year  $40.86 per hour",High school diploma or equivalent,None,Apprenticeship,28900,7% (Faster than average),1900,Elevator installers and repairers
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,"$47,360 per year  $22.77 per hour",No formal educational credential,None,Moderate-term on-the-job training,146900,0% (Little or no change),-300,Drywall tapers
https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,"$63,100 per year  $30.34 per hour",High school diploma or equivalent,None,Apprenticeship,15900,1% (Slower than average),100,Boilermaker apprentices
https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,"$116,500 per year  $56.01 per hour",Bachelor's degree,None,None,66400,3% (As fast as average),1900,Aerospace engineers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Order clerks
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Poker dealers
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,"$49,850 per year  $23.97 per hour",See How to Become One,None,None,37500,11% (Much faster than average),4200,Registrars
https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,"$67,150 per year  $32.28 per hour",Bachelor's degree,Less than 5 years,None,175500,17% (Much faster than average),29800,Community services managers
https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm,"$70,020 per year  $33.67 per hour",Bachelor's degree,None,Moderate-term on-the-job training,114700,-6% (Decline),-7100,Insurance underwriters
https://www.bls.gov/ooh/media-and-communication/photographers.htm,"$36,280 per year  $17.44 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,133500,-4% (Decline),-4800,Industrial photographers
https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,"$71,160 per year  $34.21 per hour",High school diploma or equivalent,5 years or more,None,952300,-6% (Decline),-61600,Orchard managers
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,"$48,760 per year  $23.44 per hour",See How to Become One,None,Long-term on-the-job training,51900,0% (Little or no change),100,Hand potters
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Protector plate attachers
https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,"$108,770 per year  $52.30 per hour",Bachelor's degree,None,None,32600,4% (As fast as average),1400,Chemical engineers
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,"$115,800 per year  $55.67 per hour",Master's degree,None,None,263400,45% (Much faster than average),117700,Pediatric nurse practitioners
https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,"$71,550 per year  $34.40 per hour",Bachelor's degree,None,None,1436100,4% (As fast as average),61700,Public accountants
https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm,"$79,120 per year  $38.04 per hour",Master's degree,None,Internship/residency,162600,25% (Much faster than average),40500,Speech clinicians
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,"$61,030 per year",Bachelor's degree,None,None,443700,3% (As fast as average),14300,Middle school special education teachers
https://www.bls.gov/ooh/management/financial-managers.htm,"$129,890 per year  $62.45 per hour",Bachelor's degree,5 years or more,None,697900,15% (Much faster than average),108100,City treasurers
https://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm,"$24,230 per year  $11.65 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1146400,2% (Slower than average),19500,Nursery day care workers
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Aircraft layout workers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Timekeepers
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,"$30,560 per year  $14.69 per hour",See How to Become One,None,See How to Become One,184600,-4% (Decline),-7100,Circulation clerks
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Allergists
https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm,"$75,270 per year  $36.19 per hour",Bachelor's degree,None,None,67500,4% (As fast as average),2800,Motion graphics animators
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,"$47,360 per year  $22.77 per hour",No formal educational credential,None,Moderate-term on-the-job training,146900,0% (Little or no change),-300,Sheet rock appliers
https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,"$59,810 per year  $28.76 per hour",Bachelor's degree,None,None,67900,18% (Much faster than average),12400,Studio camera operators
https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm,"$62,280 per year  $29.94 per hour",Associate's degree,See How to Become One,None,250700,7% (Faster than average),16800,Radiologic and MRI technologists
https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,"$32,020 per year  $15.39 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1506000,5% (Faster than average),75000,Delivery sales workers
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,"$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100,Ceramic tile installers
https://www.bls.gov/ooh/management/emergency-management-directors.htm,"$74,590 per year  $35.86 per hour",Bachelor's degree,5 years or more,None,10400,4% (As fast as average),500,Emergency planners
https://www.bls.gov/ooh/construction-and-extraction/construction-and-building-inspectors.htm,"$60,710 per year  $29.19 per hour",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training,120800,3% (As fast as average),3900,"Inspectors, construction"
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,"$69,600 per year  $33.46 per hour",Bachelor's degree,See How to Become One,See How to Become One,526200,-7% (Decline),-37600,"Purchasing agents, except wholesale, retail, and farm products"
https://www.bls.gov/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm,"$63,000 per year  $30.29 per hour",See How to Become One,None,Moderate-term on-the-job training,1720700,2% (Slower than average),26200,Wholesale and manufacturing sales representatives
https://www.bls.gov/ooh/construction-and-extraction/roofers.htm,"$42,100 per year  $20.24 per hour",No formal educational credential,None,Moderate-term on-the-job training,161600,2% (Slower than average),3800,Metal roofing mechanics
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Computer assemblers
https://www.bls.gov/ooh/media-and-communication/announcers.htm,"$39,790 per year  $19.13 per hour",See How to Become One,None,See How to Become One,76000,1% (Slower than average),700,Radio artists
https://www.bls.gov/ooh/production/painting-and-coating-workers.htm,"$37,770 per year  $18.16 per hour",See How to Become One,None,Moderate-term on-the-job training,164200,2% (Slower than average),2500,Painting and coating workers
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Synchronous motor assemblers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Motor vehicle representatives
https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm,"$48,210 per year  $23.18 per hour",Bachelor's degree,Less than 5 years,None,69200,1% (Slower than average),700,Childcare center directors
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Quilt stuffers
https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,"$53,650 per year  $25.79 per hour",High school diploma or equivalent,None,Apprenticeship,95900,5% (Faster than average),4500,Rod busters
https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm,"$122,270 per year  $58.78 per hour",Bachelor's degree,5 years or more,None,18000,3% (As fast as average),500,Compensation managers
https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm,"$48,330 per year  $23.24 per hour",High school diploma or equivalent,None,Apprenticeship,1024100,0% (Little or no change),-4200,Counter installers
https://www.bls.gov/ooh/management/emergency-management-directors.htm,"$74,590 per year  $35.86 per hour",Bachelor's degree,5 years or more,None,10400,4% (As fast as average),500,Emergency services directors
https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,"$30,050 per year  $14.45 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1105300,4% (As fast as average),39500,Receptionists and information clerks
https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,"$71,550 per year  $34.40 per hour",Bachelor's degree,None,None,1436100,4% (As fast as average),61700,Auditors-in-charge
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Lead team assemblers
https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,"$59,200 per year  $28.46 per hour",See How to Become One,None,See How to Become One,55100,32% (Much faster than average),17900,OT assistants
https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,"$32,020 per year  $15.39 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1506000,5% (Faster than average),75000,Sales route drivers
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,"$48,760 per year  $23.44 per hour",See How to Become One,None,Long-term on-the-job training,51900,0% (Little or no change),100,Comic artists
https://www.bls.gov/ooh/management/emergency-management-directors.htm,"$74,590 per year  $35.86 per hour",Bachelor's degree,5 years or more,None,10400,4% (As fast as average),500,Emergency management directors
https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,"$56,040 per year  $26.94 per hour",Bachelor's degree,None,None,77900,-5% (Decline),-3800,Home lighting advisers
https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,"$40,280 per year  $19.37 per hour",No formal educational credential,None,Moderate-term on-the-job training,379500,0% (Little or no change),900,Highway painters
https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,"$84,990 per year  $40.86 per hour",High school diploma or equivalent,None,Apprenticeship,28900,7% (Faster than average),1900,Elevator constructors
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Engine and other machine assemblers
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,"$59,500 per year  $28.61 per hour",Bachelor's degree,None,None,146500,5% (Faster than average),7300,Government documents librarians
https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,"$44,180 per year  $21.24 per hour",See How to Become One,None,See How to Become One,61300,3% (As fast as average),1800,Mechanical insulators
https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,"$67,150 per year  $32.28 per hour",Bachelor's degree,Less than 5 years,None,175500,17% (Much faster than average),29800,Community service organization directors
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,"$69,600 per year  $33.46 per hour",Bachelor's degree,See How to Become One,See How to Become One,526200,-7% (Decline),-37600,Hog buyers
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Brick carriers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Correspondence transcribers
https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,"$46,240 per year  $22.23 per hour",Bachelor's degree,None,None,319400,25% (Much faster than average),79000,Certified alcohol and drug counselors
https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,"$55,160 per year  $26.52 per hour",High school diploma or equivalent,None,Apprenticeship,490200,4% (As fast as average),20900,Sprinklerfitters
https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,"$71,550 per year  $34.40 per hour",Bachelor's degree,None,None,1436100,4% (As fast as average),61700,Accountants
https://www.bls.gov/ooh/management/top-executives.htm,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000,City superintendents
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Pet feeders
https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,"$87,060 per year  $41.86 per hour",Bachelor's degree,None,None,329200,2% (Slower than average),5500,Civil engineers
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Horse exercisers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Telephone interviewers
https://www.bls.gov/ooh/healthcare/phlebotomists.htm,"$35,510 per year  $17.07 per hour",Postsecondary nondegree award,None,None,132600,17% (Much faster than average),22800,Phlebotomists
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Residential roofer helpers
https://www.bls.gov/ooh/management/top-executives.htm,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000,Lieutenant governors
https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,"$71,550 per year  $34.40 per hour",Bachelor's degree,None,None,1436100,4% (As fast as average),61700,CPAs
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,"Eligibility interviewers, government programs"
https://www.bls.gov/ooh/sales/insurance-sales-agents.htm,"$50,940 per year  $24.49 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,501300,5% (Faster than average),27500,Insurance sales agents
https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,"$34,710 per year  $16.69 per hour",High school diploma or equivalent,None,Short-term on-the-job training,3018800,-2% (Decline),-59000,Warranty clerks
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Caulkers
https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,"$48,990 per year  $23.55 per hour",See How to Become One,None,See How to Become One,149300,29% (Much faster than average),43000,Physical therapist assistants and aides
https://www.bls.gov/ooh/healthcare/medical-assistants.htm,"$34,800 per year  $16.73 per hour",Postsecondary nondegree award,None,None,725200,19% (Much faster than average),139200,"Assistants, medical"
https://www.bls.gov/ooh/protective-service/fire-inspectors-and-investigators.htm,"$60,230 per year  $28.96 per hour",See How to Become One,See How to Become One,Moderate-term on-the-job training,16400,8% (Much faster than average),1400,Fire inspectors
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,"$48,760 per year  $23.44 per hour",See How to Become One,None,Long-term on-the-job training,51900,0% (Little or no change),100,Ice sculptors
https://www.bls.gov/ooh/management/sales-managers.htm,"$126,640 per year  $60.89 per hour",Bachelor's degree,Less than 5 years,None,433800,4% (As fast as average),15400,Sales managers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Attendance clerks
https://www.bls.gov/ooh/architecture-and-engineering/civil-engineering-technicians.htm,"$53,410 per year  $25.68 per hour",Associate's degree,None,None,70900,3% (As fast as average),1800,Civil engineering technicians
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,"$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100,Tile applicators
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,"$46,500 per year  $22.35 per hour",See How to Become One,None,See How to Become One,302100,-3% (Decline),-10000,Segmental wall installers
https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,"$48,300 per year  $23.22 per hour",Postsecondary nondegree award,None,None,111300,7% (Faster than average),7600,Surgical first assistants
https://www.bls.gov/ooh/business-and-financial/loan-officers.htm,"$63,270 per year  $30.42 per hour",Bachelor's degree,None,Moderate-term on-the-job training,316900,3% (As fast as average),10100,Loan collection officers
https://www.bls.gov/ooh/healthcare/dental-hygienists.htm,"$76,220 per year  $36.65 per hour",Associate's degree,None,None,226400,6% (Faster than average),13300,Dental hygienists
https://www.bls.gov/ooh/healthcare/physical-therapists.htm,"$89,440 per year  $43.00 per hour",Doctoral or professional degree,None,None,258200,18% (Much faster than average),47000,Physical therapists
https://www.bls.gov/ooh/life-physical-and-social-science/environmental-science-and-protection-technicians.htm,"$46,540 per year  $22.38 per hour",Associate's degree,None,None,34700,8% (Much faster than average),2900,Environmental science and protection technicians
https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,"$81,590 per year  $39.22 per hour",Bachelor's degree,None,None,487800,5% (Faster than average),26800,Corporate financial analysts
https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm,"$122,840 per year  $59.06 per hour",Master's degree,None,None,32700,15% (Much faster than average),5000,Computer and information research scientists
https://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm,"$24,230 per year  $11.65 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1146400,2% (Slower than average),19500,Daycare aides
https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm,"$66,020 per year  $31.74 per hour",Associate's degree,None,None,11900,7% (Faster than average),800,Aerospace engineering and operations technicians
https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,"$50,600 per year  $24.33 per hour",Bachelor's degree,None,None,138600,8% (Much faster than average),10800,Meeting managers
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Card room managers
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Drywall stripper helpers
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,"$95,410 per year  $45.87 per hour",Master's degree,Less than 5 years,None,190500,4% (As fast as average),7100,University administrators
https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm,"$59,420 per year",Bachelor's degree,None,None,1579800,4% (As fast as average),56100,Kindergarten and elementary school teachers
https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,"$26,360 per year  $12.67 per hour",See How to Become One,See How to Become One,See How to Become One,2571700,10% (Much faster than average),256600,Cooks
https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,"$84,990 per year  $40.86 per hour",High school diploma or equivalent,None,Apprenticeship,28900,7% (Faster than average),1900,Elevator repairers
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,"$49,850 per year  $23.97 per hour",See How to Become One,None,None,37500,11% (Much faster than average),4200,"Archivists, curators, and museum workers"
https://www.bls.gov/ooh/management/financial-managers.htm,"$129,890 per year  $62.45 per hour",Bachelor's degree,5 years or more,None,697900,15% (Much faster than average),108100,Credit managers
https://www.bls.gov/ooh/architecture-and-engineering/nuclear-engineers.htm,"$113,460 per year  $54.55 per hour",Bachelor's degree,None,None,16400,-13% (Decline),-2100,Radiation engineers
https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,"$30,050 per year  $14.45 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1105300,4% (As fast as average),39500,Front desk coordinators
https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,"$59,200 per year  $28.46 per hour",See How to Become One,None,See How to Become One,55100,32% (Much faster than average),17900,Occupational therapist assistants
https://www.bls.gov/ooh/healthcare/dental-assistants.htm,"$40,080 per year  $19.27 per hour",Postsecondary nondegree award,None,None,354600,7% (Faster than average),23400,Registered dental assistants
https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,"$71,160 per year  $34.21 per hour",High school diploma or equivalent,5 years or more,None,952300,-6% (Decline),-61600,Horticultural specialty farmers and managers
https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,"$32,020 per year  $15.39 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1506000,5% (Faster than average),75000,Pharmacy delivery drivers
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,"$59,500 per year  $28.61 per hour",Bachelor's degree,None,None,146500,5% (Faster than average),7300,School librarians
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Index clerks
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Plumber helpers
https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,"$56,180 per year  $27.01 per hour",High school diploma or equivalent,None,Apprenticeship,739200,8% (Much faster than average),62200,Solar photovoltaic electricians
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Hotel reservationists
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,"$47,360 per year  $22.77 per hour",No formal educational credential,None,Moderate-term on-the-job training,146900,0% (Little or no change),-300,Wall tapers
https://www.bls.gov/ooh/management/top-executives.htm,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000,Chief information officers (C.I.O.)
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,"$59,500 per year  $28.61 per hour",Bachelor's degree,None,None,146500,5% (Faster than average),7300,High school librarians
https://www.bls.gov/ooh/healthcare/dental-hygienists.htm,"$76,220 per year  $36.65 per hour",Associate's degree,None,None,226400,6% (Faster than average),13300,Registered dental hygienists
