URL,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29",Job_Title
https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm,"$35,320 per year  $16.98 per hour",Associate's degree,None,None,112900,16% (Much faster than average),18300,Veterinary lab techs
https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm,"$52,110 per year  $25.05 per hour",Bachelor's degree,None,None,281500,-4% (Decline),-10700,Visual designers
https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,"$50,400 per year  $24.23 per hour",High school diploma or equivalent,None,Apprenticeship,137700,1% (Slower than average),1800,Sheet metal fabricators
https://www.bls.gov/ooh/healthcare/dentists.htm,"$159,200 per year  $76.54 per hour",Doctoral or professional degree,None,See How to Become One,151600,3% (As fast as average),4000,Family dentists
https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,"$59,810 per year  $28.76 per hour",Bachelor's degree,None,None,67900,18% (Much faster than average),12400,Movie shot camera operators
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,"$30,560 per year  $14.69 per hour",See How to Become One,None,See How to Become One,184600,-4% (Decline),-7100,Library assistants
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Loan representatives
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Psychiatrists
https://www.bls.gov/ooh/architecture-and-engineering/mining-and-geological-engineers.htm,"$91,160 per year  $43.83 per hour",Bachelor's degree,None,None,6300,4% (As fast as average),300,Mining and geological engineers
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Animal care and service workers
https://www.bls.gov/ooh/production/woodworkers.htm,"$32,690 per year  $15.72 per hour",High school diploma or equivalent,None,See How to Become One,263500,-4% (Decline),-9600,Woodworkers
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Marine pipefitter helpers
https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,"$88,860 per year  $42.72 per hour",Bachelor's degree,None,None,55800,3% (As fast as average),1700,Hazardous waste management control engineers
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,"$47,360 per year  $22.77 per hour",No formal educational credential,None,Moderate-term on-the-job training,146900,0% (Little or no change),-300,Drywall hangers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Commodities clerks
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,"$63,200 per year  $30.39 per hour",Bachelor's degree,None,Long-term on-the-job training,131200,-2% (Decline),-3100,Essayists
https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,"$87,060 per year  $41.86 per hour",Bachelor's degree,None,None,329200,2% (Slower than average),5500,Geotechnical engineers
https://www.bls.gov/ooh/healthcare/dentists.htm,"$159,200 per year  $76.54 per hour",Doctoral or professional degree,None,See How to Become One,151600,3% (As fast as average),4000,Maxillofacial pathologists
